AA.gap0	AC.gap0	AG.gap0	AT.gap0	CA.gap0	CC.gap0	CG.gap0	CT.gap0	GA.gap0	GC.gap0	GG.gap0	GT.gap0	TA.gap0	TC.gap0	TG.gap0	TT.gap0	AA.gap1	AC.gap1	AG.gap1	AT.gap1	CA.gap1	CC.gap1	CG.gap1	CT.gap1	GA.gap1	GC.gap1	GG.gap1	GT.gap1	TA.gap1	TC.gap1	TG.gap1	TT.gap1	AA.gap2	AC.gap2	AG.gap2	AT.gap2	CA.gap2	CC.gap2	CG.gap2	CT.gap2	GA.gap2	GC.gap2	GG.gap2	GT.gap2	TA.gap2	TC.gap2	TG.gap2	TT.gap2	AA.gap3	AC.gap3	AG.gap3	AT.gap3	CA.gap3	CC.gap3	CG.gap3	CT.gap3	GA.gap3	GC.gap3	GG.gap3	GT.gap3	TA.gap3	TC.gap3	TG.gap3	TT.gap3
0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.2	0.2	0.1	0.1	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.0	0.0	0.1111111111111111	0.0	0.0	0.3333333333333333	0.0	0.125	0.0	0.125	0.0	0.0	0.0	0.125	0.125	0.0	0.0	0.125	0.25	0.0	0.125	0.0	0.14285714285714285	0.0	0.0	0.14285714285714285	0.0	0.0	0.14285714285714285	0.0	0.14285714285714285	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.2857142857142857
0.0	0.0	0.2	0.0	0.1	0.1	0.1	0.1	0.2	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.1111111111111111	0.1111111111111111	0.0	0.0	0.1111111111111111	0.1111111111111111	0.2222222222222222	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.125	0.125	0.25	0.125	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.2857142857142857	0.0	0.0	0.0	0.0	0.2857142857142857	0.0	0.0	0.14285714285714285	0.0	0.14285714285714285	0.14285714285714285	0.0	0.0	0.0
0.0	0.1	0.2	0.0	0.0	0.0	0.1	0.1	0.3	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.1111111111111111	0.0	0.1111111111111111	0.0	0.1111111111111111	0.0	0.1111111111111111	0.0	0.0	0.1111111111111111	0.2222222222222222	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.125	0.0	0.125	0.0	0.125	0.0	0.125	0.0	0.125	0.0	0.25	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.14285714285714285	0.14285714285714285	0.0	0.0	0.2857142857142857	0.0	0.14285714285714285	0.0	0.0	0.0	0.14285714285714285	0.0
0.0	0.1	0.1	0.1	0.2	0.1	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.2222222222222222	0.0	0.0	0.1111111111111111	0.1111111111111111	0.0	0.1111111111111111	0.2222222222222222	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.25	0.0	0.0	0.0	0.0	0.125	0.0	0.125	0.0	0.125	0.125	0.0	0.125	0.125	0.0	0.0	0.0	0.14285714285714285	0.0	0.14285714285714285	0.14285714285714285	0.0	0.0	0.0	0.0	0.2857142857142857	0.0	0.0	0.14285714285714285	0.0	0.14285714285714285	0.0
0.0	0.1	0.0	0.0	0.1	0.3	0.2	0.0	0.0	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.1111111111111111	0.3333333333333333	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.25	0.375	0.0	0.125	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.14285714285714285	0.42857142857142855	0.14285714285714285	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.2	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.0	0.1111111111111111	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.0	0.0	0.1111111111111111	0.0	0.0	0.1111111111111111	0.2222222222222222	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.25	0.125	0.25	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.14285714285714285	0.0	0.0	0.14285714285714285	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.14285714285714285	0.2857142857142857
0.0	0.0	0.2	0.1	0.1	0.0	0.0	0.0	0.1	0.1	0.0	0.1	0.1	0.0	0.2	0.0	0.1111111111111111	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.0	0.2222222222222222	0.0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.25	0.0	0.125	0.0	0.0	0.0	0.125	0.0	0.0	0.125	0.125	0.0	0.125	0.125	0.14285714285714285	0.0	0.0	0.14285714285714285	0.0	0.0	0.14285714285714285	0.0	0.14285714285714285	0.0	0.14285714285714285	0.0	0.0	0.0	0.14285714285714285	0.14285714285714285
0.0	0.2	0.0	0.0	0.1	0.0	0.1	0.1	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.0	0.1111111111111111	0.0	0.1111111111111111	0.0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.1111111111111111	0.0	0.2222222222222222	0.0	0.125	0.125	0.0	0.0	0.125	0.125	0.0	0.0	0.0	0.0	0.125	0.25	0.125	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.14285714285714285	0.0	0.14285714285714285	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.2857142857142857	0.0	0.14285714285714285
0.0	0.2	0.0	0.1	0.0	0.0	0.2	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.1	0.2	0.0	0.0	0.2222222222222222	0.1111111111111111	0.2222222222222222	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.1111111111111111	0.0	0.0	0.1111111111111111	0.1111111111111111	0.25	0.0	0.0	0.125	0.0	0.125	0.0	0.125	0.0	0.0	0.125	0.125	0.0	0.0	0.125	0.0	0.0	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.0	0.0	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0
0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.3	0.1	0.0	0.0	0.1	0.0	0.1	0.2	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.1111111111111111	0.2222222222222222	0.1111111111111111	0.0	0.1111111111111111	0.0	0.0	0.1111111111111111	0.1111111111111111	0.0	0.1111111111111111	0.0	0.125	0.0	0.0	0.125	0.125	0.125	0.125	0.0	0.0	0.0	0.125	0.0	0.125	0.0	0.125	0.0	0.14285714285714285	0.0	0.0	0.0	0.14285714285714285	0.0	0.2857142857142857	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.14285714285714285	0.14285714285714285
0.0	0.1	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.3	0.1	0.0	0.1	0.0	0.1111111111111111	0.0	0.0	0.2222222222222222	0.0	0.0	0.1111111111111111	0.0	0.1111111111111111	0.0	0.1111111111111111	0.1111111111111111	0.0	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.125	0.125	0.125	0.125	0.0	0.125	0.0	0.0	0.125	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.0	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.14285714285714285	0.14285714285714285	0.0	0.14285714285714285	0.0
0.0	0.1	0.1	0.0	0.1	0.0	0.1	0.0	0.0	0.1	0.1	0.2	0.1	0.1	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.1111111111111111	0.0	0.1111111111111111	0.2222222222222222	0.2222222222222222	0.0	0.0	0.0	0.0	0.2222222222222222	0.0	0.0	0.125	0.0	0.0	0.125	0.0	0.0	0.0	0.125	0.125	0.25	0.0	0.0	0.0	0.125	0.125	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.0	0.0
0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.2	0.1	0.0	0.0	0.2	0.2	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.2222222222222222	0.0	0.0	0.2222222222222222	0.0	0.0	0.0	0.2222222222222222	0.2222222222222222	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.25	0.0	0.0	0.125	0.0	0.0	0.0	0.375	0.125	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.2857142857142857	0.14285714285714285
0.0	0.1	0.2	0.0	0.2	0.1	0.0	0.0	0.1	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.0	0.1111111111111111	0.0	0.2222222222222222	0.0	0.0	0.2222222222222222	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.125	0.125	0.0	0.0	0.125	0.0	0.25	0.0	0.125	0.125	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.14285714285714285	0.0	0.14285714285714285	0.0	0.14285714285714285	0.0	0.0	0.0
0.1	0.0	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.2	0.0	0.0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.2222222222222222	0.0	0.1111111111111111	0.0	0.2222222222222222	0.0	0.0	0.0	0.25	0.0	0.0	0.125	0.125	0.0	0.125	0.0	0.0	0.0	0.0	0.125	0.25	0.0	0.14285714285714285	0.0	0.14285714285714285	0.0	0.0	0.0	0.2857142857142857	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.14285714285714285	0.14285714285714285
0.0	0.1	0.0	0.1	0.0	0.0	0.2	0.1	0.0	0.1	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.0	0.0	0.1111111111111111	0.1111111111111111	0.0	0.125	0.125	0.0	0.0	0.0	0.125	0.25	0.125	0.0	0.0	0.0	0.0	0.125	0.125	0.0	0.0	0.0	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.2857142857142857	0.0
0.0	0.0	0.0	0.0	0.0	0.1	0.2	0.1	0.0	0.1	0.2	0.1	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222222222222	0.2222222222222222	0.0	0.0	0.0	0.1111111111111111	0.2222222222222222	0.0	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.25	0.125	0.0	0.125	0.0	0.125	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.14285714285714285	0.2857142857142857	0.0	0.0	0.14285714285714285	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0
0.0	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.1	0.1111111111111111	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.1111111111111111	0.0	0.0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.0	0.0	0.125	0.0	0.125	0.125	0.0	0.125	0.125	0.0	0.0	0.0	0.125	0.0	0.125	0.125	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.14285714285714285
0.2	0.1	0.0	0.0	0.0	0.1	0.0	0.2	0.1	0.1	0.0	0.0	0.0	0.1	0.1	0.0	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.0	0.0	0.1111111111111111	0.0	0.0	0.1111111111111111	0.0	0.125	0.0	0.0	0.125	0.125	0.0	0.125	0.125	0.0	0.0	0.125	0.125	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.14285714285714285	0.14285714285714285	0.0	0.2857142857142857	0.0	0.0	0.2857142857142857	0.0	0.0	0.0
0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.1	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.2222222222222222	0.0	0.1111111111111111	0.0	0.0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.2222222222222222	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.25	0.0	0.0	0.0	0.0	0.125	0.125	0.25	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.14285714285714285	0.0	0.0	0.0	0.0	0.2857142857142857	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.0
0.2	0.0	0.0	0.2	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.2	0.1	0.1	0.0	0.0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.2222222222222222	0.0	0.0	0.2222222222222222	0.125	0.0	0.125	0.125	0.0	0.0	0.0	0.125	0.125	0.0	0.0	0.0	0.25	0.125	0.0	0.0	0.2857142857142857	0.0	0.0	0.14285714285714285	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.0	0.0	0.14285714285714285
0.0	0.2	0.0	0.1	0.1	0.0	0.1	0.2	0.0	0.0	0.0	0.0	0.1	0.2	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.2222222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.0	0.1111111111111111	0.125	0.125	0.0	0.0	0.0	0.125	0.0	0.25	0.0	0.0	0.0	0.0	0.125	0.125	0.125	0.0	0.0	0.14285714285714285	0.0	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.14285714285714285
0.0	0.1	0.1	0.0	0.1	0.0	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.0	0.0	0.2222222222222222	0.1111111111111111	0.2222222222222222	0.0	0.0	0.0	0.0	0.2222222222222222	0.0	0.0	0.0	0.0	0.125	0.0	0.125	0.125	0.125	0.0	0.0	0.125	0.125	0.0	0.125	0.0	0.0	0.125	0.0	0.14285714285714285	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.0	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.0	0.2857142857142857	0.0
0.3	0.1	0.0	0.0	0.1	0.0	0.1	0.0	0.1	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.2222222222222222	0.1111111111111111	0.1111111111111111	0.0	0.2222222222222222	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.25	0.125	0.125	0.0	0.125	0.0	0.0	0.0	0.125	0.125	0.0	0.0	0.125	0.0	0.0	0.0	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.0	0.14285714285714285	0.0	0.0	0.0	0.2857142857142857	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0
0.0	0.0	0.1	0.0	0.1	0.1	0.0	0.2	0.0	0.0	0.0	0.1	0.0	0.3	0.0	0.1	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.2222222222222222	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222222222222	0.0	0.2222222222222222	0.0	0.0	0.0	0.0	0.0	0.125	0.125	0.25	0.0	0.0	0.0	0.0	0.125	0.25	0.0	0.125	0.0	0.0	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.14285714285714285	0.14285714285714285
0.1	0.2	0.0	0.1	0.1	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.2	0.1111111111111111	0.0	0.1111111111111111	0.2222222222222222	0.2222222222222222	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.1111111111111111	0.0	0.1111111111111111	0.25	0.0	0.0	0.25	0.0	0.125	0.0	0.125	0.125	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.2857142857142857	0.0	0.2857142857142857	0.14285714285714285	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.1	0.1	0.1	0.0	0.1	0.2	0.1	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.1111111111111111	0.0	0.1111111111111111	0.0	0.2222222222222222	0.0	0.2222222222222222	0.2222222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.125	0.25	0.0	0.25	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.2857142857142857	0.14285714285714285	0.0	0.0	0.14285714285714285	0.0	0.2857142857142857
0.3	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.2	0.1	0.0	0.0	0.0	0.1	0.1111111111111111	0.0	0.4444444444444444	0.0	0.0	0.0	0.0	0.0	0.2222222222222222	0.0	0.0	0.2222222222222222	0.0	0.0	0.0	0.0	0.125	0.0	0.375	0.125	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.2857142857142857	0.0	0.14285714285714285	0.2857142857142857	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0
0.1	0.0	0.1	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.1	0.2	0.0	0.1	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.0	0.0	0.1111111111111111	0.0	0.0	0.125	0.125	0.0	0.0	0.125	0.0	0.125	0.0	0.0	0.25	0.125	0.0	0.0	0.125	0.0	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.0	0.14285714285714285	0.0	0.0	0.2857142857142857	0.14285714285714285	0.0	0.0	0.0	0.0	0.14285714285714285
0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.1	0.1	0.0	0.1	0.1	0.0	0.1	0.2	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.1111111111111111	0.0	0.1111111111111111	0.1111111111111111	0.0	0.0	0.1111111111111111	0.0	0.0	0.2222222222222222	0.0	0.0	0.125	0.125	0.125	0.0	0.0	0.0	0.0	0.0	0.125	0.125	0.125	0.125	0.125	0.0	0.0	0.14285714285714285	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.0	0.14285714285714285	0.0	0.14285714285714285	0.14285714285714285
0.0	0.1	0.0	0.1	0.1	0.1	0.2	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.2222222222222222	0.0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.0	0.0	0.1111111111111111	0.0	0.1111111111111111	0.0	0.1111111111111111	0.0	0.1111111111111111	0.125	0.0	0.0	0.125	0.0	0.0	0.125	0.125	0.0	0.125	0.125	0.0	0.0	0.125	0.125	0.0	0.0	0.14285714285714285	0.0	0.14285714285714285	0.14285714285714285	0.0	0.14285714285714285	0.0	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.14285714285714285	0.0	0.0
0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.1111111111111111	0.2222222222222222	0.0	0.3333333333333333	0.1111111111111111	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.125	0.0	0.125	0.125	0.125	0.25	0.0	0.0	0.0	0.0	0.125	0.0	0.14285714285714285	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.0	0.0	0.14285714285714285	0.14285714285714285	0.2857142857142857	0.0	0.0	0.0	0.0
0.3	0.1	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.0	0.1111111111111111	0.1111111111111111	0.0	0.1111111111111111	0.0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.125	0.0	0.125	0.125	0.125	0.0	0.125	0.125	0.0	0.0	0.0	0.125	0.0	0.125	0.0	0.0	0.2857142857142857	0.0	0.0	0.2857142857142857	0.0	0.14285714285714285	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285
0.1	0.2	0.1	0.0	0.0	0.0	0.2	0.0	0.2	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1111111111111111	0.2222222222222222	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.1111111111111111	0.0	0.2222222222222222	0.0	0.1111111111111111	0.0	0.0	0.0	0.125	0.0	0.25	0.0	0.0	0.0	0.125	0.0	0.125	0.125	0.0	0.125	0.125	0.0	0.0	0.0	0.14285714285714285	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.2857142857142857	0.0	0.0	0.14285714285714285	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.3	0.0	0.1	0.1	0.0	0.0	0.1	0.1	0.2	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.3333333333333333	0.0	0.1111111111111111	0.0	0.1111111111111111	0.0	0.0	0.2222222222222222	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.125	0.125	0.125	0.0	0.0	0.0	0.25	0.0	0.125	0.125	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.2857142857142857	0.0	0.0	0.0	0.14285714285714285	0.0	0.14285714285714285	0.14285714285714285	0.14285714285714285
0.2	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.2	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.0	0.1111111111111111	0.125	0.125	0.125	0.125	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.125	0.125	0.125	0.0	0.0	0.2857142857142857	0.14285714285714285	0.0	0.14285714285714285	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.14285714285714285	0.0	0.14285714285714285	0.0	0.0
0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.3	0.0	0.1	0.0	0.0	0.0	0.2	0.1	0.1	0.0	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.2222222222222222	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.125	0.25	0.0	0.0	0.0	0.0	0.0	0.125	0.125	0.125	0.0	0.25	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.2857142857142857	0.0	0.14285714285714285	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.14285714285714285
0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.1	0.3	0.0	0.1	0.2	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.0	0.0	0.1111111111111111	0.2222222222222222	0.0	0.0	0.0	0.125	0.0	0.125	0.125	0.0	0.0	0.0	0.125	0.25	0.0	0.0	0.125	0.125	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.0	0.2857142857142857	0.0
0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.0	0.3	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.1111111111111111	0.3333333333333333	0.0	0.1111111111111111	0.1111111111111111	0.0	0.1111111111111111	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.125	0.125	0.0	0.0	0.375	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.14285714285714285	0.14285714285714285	0.0	0.2857142857142857	0.14285714285714285	0.0	0.0	0.0	0.14285714285714285	0.0
0.0	0.2	0.0	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.3	0.0	0.1	0.0	0.1	0.0	0.0	0.1111111111111111	0.0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.2222222222222222	0.0	0.0	0.1111111111111111	0.1111111111111111	0.0	0.125	0.0	0.125	0.0	0.0	0.125	0.125	0.125	0.0	0.0	0.125	0.0	0.0	0.125	0.125	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.0	0.0	0.2857142857142857	0.14285714285714285	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.14285714285714285	0.0
0.0	0.0	0.0	0.1	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.1	0.1	0.3	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.1111111111111111	0.0	0.1111111111111111	0.2222222222222222	0.2222222222222222	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.125	0.125	0.125	0.25	0.125	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.14285714285714285	0.0	0.14285714285714285	0.2857142857142857	0.14285714285714285
0.0	0.0	0.1	0.0	0.1	0.1	0.2	0.1	0.0	0.2	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.1111111111111111	0.0	0.0	0.0	0.1111111111111111	0.2222222222222222	0.1111111111111111	0.0	0.1111111111111111	0.0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.25	0.0	0.125	0.0	0.0	0.125	0.125	0.125	0.0	0.125	0.0	0.0	0.0	0.14285714285714285	0.0	0.14285714285714285	0.14285714285714285	0.0	0.14285714285714285	0.0	0.14285714285714285	0.0	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0
